LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,datetime,content_length
1,03-17,16:13:38.811,1702,2395,Informativo,WindowManager,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",E100,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",2024-03-17 16:13:38.811,21
2,03-17,16:13:38.819,1702,8671,Informativo,PowerManagerService,"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227",E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",2024-03-17 16:13:38.819,9
3,03-17,16:13:38.820,1702,8671,Informativo,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",2024-03-17 16:13:38.820,1
4,03-17,16:13:38.839,1702,2113,Informativo,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,2024-03-17 16:13:38.839,11
5,03-17,16:13:38.859,2227,2227,Informativo,TextView,visible is system.time.showampm,E165,visible is <*>,2024-03-17 16:13:38.859,3
6,03-17,16:13:38.861,2227,2227,Informativo,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is false,2024-03-17 16:13:38.861,3
7,03-17,16:13:38.869,2227,2227,Informativo,TextView,visible is system.charge.show,E165,visible is <*>,2024-03-17 16:13:38.869,3
8,03-17,16:13:38.871,2227,2227,Informativo,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is false,2024-03-17 16:13:38.871,3
9,03-17,16:13:38.875,2227,2227,Informativo,TextView,visible is system.call.count gt 0,E166,visible is <*> gt <*>,2024-03-17 16:13:38.875,5
10,03-17,16:13:38.877,2227,2227,Informativo,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is false,2024-03-17 16:13:38.877,3
11,03-17,16:13:38.881,2227,2227,Informativo,TextView,visible is system.message.count gt 0,E166,visible is <*> gt <*>,2024-03-17 16:13:38.881,5
12,03-17,16:13:38.882,2227,2227,Informativo,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is false,2024-03-17 16:13:38.882,3
13,03-17,16:13:38.887,2227,2227,Informativo,TextView,visible is system.ownerinfo.show,E165,visible is <*>,2024-03-17 16:13:38.887,3
14,03-17,16:13:38.888,2227,2227,Informativo,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is false,2024-03-17 16:13:38.888,3
15,03-17,16:13:38.905,1702,10454,Informativo,PowerManagerService,"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227",E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",2024-03-17 16:13:38.905,8
16,03-17,16:13:38.907,1702,10454,Informativo,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",2024-03-17 16:13:38.907,1
17,03-17,16:13:38.915,1702,3693,Informativo,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,2024-03-17 16:13:38.915,11
18,03-17,16:13:38.928,2227,2227,Informativo,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0",E155,"updateClipping isOverlap:false, getTopPadding=<*>.<*>, Translation=<*>.<*>",2024-03-17 16:13:38.928,4
19,03-17,16:13:38.928,2227,2227,Informativo,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false,E157,updateDimmedActivatedHideSensitive overlap:false,2024-03-17 16:13:38.928,2
20,03-17,16:13:38.935,1702,3697,Advertencia,ActivityManager,getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,2024-03-17 16:13:38.935,9
21,03-17,16:13:38.936,1702,14638,Informativo,PowerManagerService,"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702",E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",2024-03-17 16:13:38.936,7
22,03-17,16:13:38.938,1702,14638,Informativo,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",2024-03-17 16:13:38.938,1
23,03-17,16:13:38.954,2227,2227,Informativo,PhoneStatusBar,"setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)",E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",2024-03-17 16:13:38.954,18
24,03-17,16:13:38.955,2227,2227,Informativo,PhoneStatusBar,cancelAutohide,E27,cancelAutohide,2024-03-17 16:13:38.955,1
25,03-17,16:13:38.955,2227,2227,Informativo,PhoneStatusBar,"notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500",E84,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",2024-03-17 16:13:38.955,2
26,03-17,16:13:38.994,1702,27365,Informativo,WindowManager,Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack>,E41,Destroying surface Surface(name=<*>) called by <*>,2024-03-17 16:13:38.994,21
27,03-17,16:13:39.006,1702,2639,Informativo,WindowManager,Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.destroyOrSaveSurface:2201 com.android.server.wm.WindowManagerService.tryStartExitingAnimation:3299 com.android.server.wm.WindowManagerService.relayoutWindow:3179 com.android.server.wm.Session.relayout:215 android.view.IWindowSession$Stub.onTransact:286 com.android.server.wm.Session.onTransact:136,E41,Destroying surface Surface(name=<*>) called by <*>,2024-03-17 16:13:39.006,13
