LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate,datetime,content_length
1,-,1117838570,2005-06-03,R02-M1-N0-C:J12-U11,2005-06-03-15.42.50.675872,R02-M1-N0-C:J12-U11,RAS,KERNEL,Informativo,instruction cache parity error corrected,E77,instruction cache parity error corrected,2005-06-03 22:42:50,5
2,-,1117838573,2005-06-03,R02-M1-N0-C:J12-U11,2005-06-03-15.42.53.276129,R02-M1-N0-C:J12-U11,RAS,KERNEL,Informativo,instruction cache parity error corrected,E77,instruction cache parity error corrected,2005-06-03 22:42:53,5
3,-,1117838976,2005-06-03,R02-M1-N0-C:J12-U11,2005-06-03-15.49.36.156884,R02-M1-N0-C:J12-U11,RAS,KERNEL,Informativo,instruction cache parity error corrected,E77,instruction cache parity error corrected,2005-06-03 22:49:36,5
4,-,1117838978,2005-06-03,R02-M1-N0-C:J12-U11,2005-06-03-15.49.38.026704,R02-M1-N0-C:J12-U11,RAS,KERNEL,Informativo,instruction cache parity error corrected,E77,instruction cache parity error corrected,2005-06-03 22:49:38,5
5,-,1117842440,2005-06-03,R23-M0-NE-C:J05-U01,2005-06-03-16.47.20.730545,R23-M0-NE-C:J05-U01,RAS,KERNEL,Informativo,63543 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions,2005-06-03 23:47:20,4
6,-,1117842974,2005-06-03,R24-M0-N1-C:J13-U11,2005-06-03-16.56.14.254137,R24-M0-N1-C:J13-U11,RAS,KERNEL,Informativo,162 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions,2005-06-03 23:56:14,4
7,-,1117843015,2005-06-03,R21-M1-N6-C:J08-U11,2005-06-03-16.56.55.309974,R21-M1-N6-C:J08-U11,RAS,KERNEL,Informativo,141 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions,2005-06-03 23:56:55,4
8,-,1117848119,2005-06-03,R16-M1-N2-C:J17-U01,2005-06-03-18.21.59.871925,R16-M1-N2-C:J17-U01,RAS,KERNEL,Informativo,"CE sym 2, at 0x0b85eee0, mask 0x05",E18,"CE sym <*>, at <*>, mask <*>",2005-06-04 01:21:59,7
9,APPREAD,1117869872,2005-06-04,R04-M1-N4-I:J18-U11,2005-06-04-00.24.32.432192,R04-M1-N4-I:J18-U11,RAS,APP,Error,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,E33,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>,2005-06-04 07:24:32,13
10,APPREAD,1117869876,2005-06-04,R27-M1-N4-I:J18-U01,2005-06-04-00.24.36.222560,R27-M1-N4-I:J18-U01,RAS,APP,Error,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,E33,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>,2005-06-04 07:24:36,13
11,-,1117942120,2005-06-04,R30-M0-N7-C:J08-U01,2005-06-04-20.28.40.767551,R30-M0-N7-C:J08-U01,RAS,KERNEL,Informativo,"CE sym 20, at 0x1438f9e0, mask 0x40",E18,"CE sym <*>, at <*>, mask <*>",2005-06-05 03:28:40,7
12,-,1117955341,2005-06-05,R25-M0-N7-C:J02-U01,2005-06-05-00.09.01.903373,R25-M0-N7-C:J02-U01,RAS,KERNEL,Informativo,generating core.2275,E67,generating core.<*>,2005-06-05 07:09:01,2
13,-,1117955392,2005-06-05,R24-M1-N8-C:J09-U11,2005-06-05-00.09.52.516674,R24-M1-N8-C:J09-U11,RAS,KERNEL,Informativo,generating core.862,E67,generating core.<*>,2005-06-05 07:09:52,2
14,-,1117956980,2005-06-05,R24-M1-NB-C:J15-U11,2005-06-05-00.36.20.945796,R24-M1-NB-C:J15-U11,RAS,KERNEL,Informativo,generating core.728,E67,generating core.<*>,2005-06-05 07:36:20,2
15,-,1117957045,2005-06-05,R20-M1-N8-C:J04-U01,2005-06-05-00.37.25.012681,R20-M1-N8-C:J04-U01,RAS,KERNEL,Informativo,generating core.775,E67,generating core.<*>,2005-06-05 07:37:25,2
16,-,1117959501,2005-06-05,R24-M0-NE-C:J14-U11,2005-06-05-01.18.21.778604,R24-M0-NE-C:J14-U11,RAS,KERNEL,Informativo,generating core.3276,E67,generating core.<*>,2005-06-05 08:18:21,2
17,-,1117959513,2005-06-05,R21-M1-N2-C:J11-U01,2005-06-05-01.18.33.830595,R21-M1-N2-C:J11-U01,RAS,KERNEL,Informativo,generating core.1717,E67,generating core.<*>,2005-06-05 08:18:33,2
18,-,1117959563,2005-06-05,R24-M0-N8-C:J04-U11,2005-06-05-01.19.23.822135,R24-M0-N8-C:J04-U11,RAS,KERNEL,Informativo,generating core.3919,E67,generating core.<*>,2005-06-05 08:19:23,2
19,-,1117973759,2005-06-05,R31-M0-NE-C:J05-U11,2005-06-05-05.15.59.416717,R31-M0-NE-C:J05-U11,RAS,KERNEL,Informativo,generating core.2079,E67,generating core.<*>,2005-06-05 12:15:59,2
20,-,1117973786,2005-06-05,R36-M0-NA-C:J06-U01,2005-06-05-05.16.26.686603,R36-M0-NA-C:J06-U01,RAS,KERNEL,Informativo,generating core.1414,E67,generating core.<*>,2005-06-05 12:16:26,2
21,-,1117973919,2005-06-05,R33-M0-N4-C:J02-U11,2005-06-05-05.18.39.396608,R33-M0-N4-C:J02-U11,RAS,KERNEL,Informativo,generating core.3055,E67,generating core.<*>,2005-06-05 12:18:39,2
22,-,1117974206,2005-06-05,R22-M0-ND-C:J10-U11,2005-06-05-05.23.26.239153,R22-M0-ND-C:J10-U11,RAS,KERNEL,Informativo,generating core.201,E67,generating core.<*>,2005-06-05 12:23:26,2
23,-,1117974463,2005-06-05,R27-M0-N6-C:J10-U01,2005-06-05-05.27.43.336565,R27-M0-N6-C:J10-U01,RAS,KERNEL,Informativo,generating core.1125,E67,generating core.<*>,2005-06-05 12:27:43,2
24,-,1117975251,2005-06-05,R26-M1-N8-C:J17-U11,2005-06-05-05.40.51.726735,R26-M1-N8-C:J17-U11,RAS,KERNEL,Informativo,generating core.412,E67,generating core.<*>,2005-06-05 12:40:51,2
25,-,1117976658,2005-06-05,R36-M1-N8-C:J17-U01,2005-06-05-06.04.18.406158,R36-M1-N8-C:J17-U01,RAS,KERNEL,Informativo,generating core.7828,E67,generating core.<*>,2005-06-05 13:04:18,2
26,-,1117977497,2005-06-05,R33-M1-NB-C:J06-U01,2005-06-05-06.18.17.802159,R33-M1-NB-C:J06-U01,RAS,KERNEL,Informativo,generating core.5570,E67,generating core.<*>,2005-06-05 13:18:17,2
