LineId,Date,Time,Level,Node,Component,Id,Content,EventId,EventTemplate,datetime,content_length
1,2015-07-29,17:41:44.747,Informativo,QuorumPeer[myid=1]/0,0:0:0:0:0:0:0:2181:FastLeaderElection,774,Notification time out: 3200,E31,Notification time out: <*>,2015-07-29 17:41:44.747,4
2,2015-07-29,19:04:12.394,Informativo,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45307,E40,Received connection request /<*>:<*>,2015-07-29 19:04:12.394,4
3,2015-07-29,19:04:29.071,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,2015-07-29 19:04:29.071,4
4,2015-07-29,19:04:29.079,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:04:29.079,7
5,2015-07-29,19:13:17.524,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,2015-07-29 19:13:17.524,4
6,2015-07-29,19:13:24.282,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",2015-07-29 19:13:24.282,11
7,2015-07-29,19:13:24.370,Informativo,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:57707,E40,Received connection request /<*>:<*>,2015-07-29 19:13:24.370,4
8,2015-07-29,19:13:27.721,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",2015-07-29 19:13:27.721,11
9,2015-07-29,19:13:34.382,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:13:34.382,7
10,2015-07-29,19:13:37.626,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,2015-07-29 19:13:37.626,4
11,2015-07-29,19:13:44.301,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,2015-07-29 19:13:44.301,4
12,2015-07-29,19:13:47.731,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",2015-07-29 19:13:47.731,11
13,2015-07-29,19:13:54.220,Informativo,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45382,E40,Received connection request /<*>:<*>,2015-07-29 19:13:54.220,4
14,2015-07-29,19:13:54.399,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",2015-07-29 19:13:54.399,11
15,2015-07-29,19:14:04.406,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:14:04.406,7
16,2015-07-29,19:14:07.559,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:14:07.559,2
17,2015-07-29,19:14:07.653,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,2015-07-29 19:14:07.653,4
18,2015-07-29,19:14:24.329,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:14:24.329,2
19,2015-07-29,19:14:37.585,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:14:37.585,7
20,2015-07-29,19:14:44.256,Informativo,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45440,E40,Received connection request /<*>:<*>,2015-07-29 19:14:44.256,4
21,2015-07-29,19:14:47.593,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:14:47.593,2
22,2015-07-29,19:14:54.354,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,2015-07-29 19:14:54.354,4
23,2015-07-29,19:15:24.476,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:15:24.476,7
24,2015-07-29,19:15:37.647,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:15:37.647,2
25,2015-07-29,19:15:37.648,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,2015-07-29 19:15:37.648,4
26,2015-07-29,19:15:54.407,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:15:54.407,7
27,2015-07-29,19:15:57.854,Informativo,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:57895,E40,Received connection request /<*>:<*>,2015-07-29 19:15:57.854,4
28,2015-07-29,19:16:04.412,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:16:04.412,7
29,2015-07-29,19:16:04.414,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:16:04.414,7
30,2015-07-29,19:16:07.659,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:16:07.659,2
31,2015-07-29,19:16:14.520,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:16:14.520,7
32,2015-07-29,19:16:24.348,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",2015-07-29 19:16:24.348,11
33,2015-07-29,19:16:27.865,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:16:27.865,7
34,2015-07-29,19:16:27.865,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,2015-07-29 19:16:27.865,4
35,2015-07-29,19:16:34.433,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",2015-07-29 19:16:34.433,11
36,2015-07-29,19:16:44.440,Informativo,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.12:47727,E40,Received connection request /<*>:<*>,2015-07-29 19:16:44.440,4
37,2015-07-29,19:16:57.707,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:16:57.707,7
38,2015-07-29,19:17:17.721,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:17:17.721,7
39,2015-07-29,19:17:17.921,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:17:17.921,7
40,2015-07-29,19:17:24.471,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",2015-07-29 19:17:24.471,11
41,2015-07-29,19:17:24.477,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:17:24.477,7
42,2015-07-29,19:17:57.741,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:17:57.741,7
43,2015-07-29,19:17:57.939,Informativo,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:58035,E40,Received connection request /<*>:<*>,2015-07-29 19:17:57.939,4
44,2015-07-29,19:17:57.955,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:17:57.955,2
45,2015-07-29,19:18:04.430,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:18:04.430,7
46,2015-07-29,19:18:07.748,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:18:07.748,2
47,2015-07-29,19:18:07.756,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:18:07.756,2
48,2015-07-29,19:18:14.511,Informativo,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.12:47838,E40,Received connection request /<*>:<*>,2015-07-29 19:18:14.511,4
49,2015-07-29,19:18:14.839,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:18:14.839,7
50,2015-07-29,19:18:34.635,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:18:34.635,7
51,2015-07-29,19:18:37.770,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,2015-07-29 19:18:37.770,4
52,2015-07-29,19:18:47.785,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:18:47.785,2
53,2015-07-29,19:18:54.534,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:18:54.534,2
54,2015-07-29,19:18:54.534,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:18:54.534,7
55,2015-07-29,19:18:57.988,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:18:57.988,2
56,2015-07-29,19:19:04.661,Informativo,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:58116,E40,Received connection request /<*>:<*>,2015-07-29 19:19:04.661,4
57,2015-07-29,19:21:36.502,Informativo,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45957,E40,Received connection request /<*>:<*>,2015-07-29 19:21:36.502,4
58,2015-07-29,19:21:36.607,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:21:36.607,7
59,2015-07-29,19:21:39.846,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",2015-07-29 19:21:39.846,11
60,2015-07-29,19:21:39.846,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:21:39.846,2
61,2015-07-29,19:21:43.389,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:21:43.389,2
62,2015-07-29,19:21:46.525,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",2015-07-29 19:21:46.525,11
63,2015-07-29,19:21:46.537,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,2015-07-29 19:21:46.537,4
64,2015-07-29,19:21:46.728,Informativo,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:58303,E40,Received connection request /<*>:<*>,2015-07-29 19:21:46.728,4
65,2015-07-29,19:21:49.960,Informativo,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.12:48096,E40,Received connection request /<*>:<*>,2015-07-29 19:21:49.960,4
66,2015-07-29,19:21:53.209,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,2015-07-29 19:21:53.209,4
67,2015-07-29,19:21:53.220,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:21:53.220,2
68,2015-07-29,19:21:53.410,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:21:53.410,7
69,2015-07-29,19:21:53.412,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,2015-07-29 19:21:53.412,7
70,2015-07-29,19:21:53.414,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:21:53.414,2
71,2015-07-29,19:21:56.644,Advertencia,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,2015-07-29 19:21:56.644,4
72,2015-07-29,19:21:56.756,Advertencia,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker,2015-07-29 19:21:56.756,2
