Content,Level,datetime,content_length,source,Clean_Content
"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",Informativo,2024-03-17 16:13:38.811,22,Android,printfreezingdisplaylogsopening app wtoken appwindowtoken token token activityrecord com tencent qt qtl activity info newsdetailxmlactivity alldrawn false startingdisplayed false startingmoved false isrelaunching false
"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227",Informativo,2024-03-17 16:13:38.819,13,Android,acquire lock flags tag view lock com android systemui ws null uid pid
"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:38.820,17,Android,ready true policy wakefulness wksummary uasummary bootcompleted true boostinprogress false waitmodeenable false mode false manual auto adj
Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Informativo,2024-03-17 16:13:38.839,17,Android,skipping appwindowtoken token token activityrecord com tencent qt qtl com tencent video player activity playeractivity going hide
visible is system.time.showampm,Informativo,2024-03-17 16:13:38.859,3,Android,visible time showampm
mVisiblity.getValue is false,Informativo,2024-03-17 16:13:38.861,3,Android,mvisiblity getvalue false
visible is system.charge.show,Informativo,2024-03-17 16:13:38.869,2,Android,visible charge
mVisiblity.getValue is false,Informativo,2024-03-17 16:13:38.871,3,Android,mvisiblity getvalue false
visible is system.call.count gt 0,Informativo,2024-03-17 16:13:38.875,3,Android,visible count gt
mVisiblity.getValue is false,Informativo,2024-03-17 16:13:38.877,3,Android,mvisiblity getvalue false
visible is system.message.count gt 0,Informativo,2024-03-17 16:13:38.881,4,Android,visible message count gt
mVisiblity.getValue is false,Informativo,2024-03-17 16:13:38.882,3,Android,mvisiblity getvalue false
visible is system.ownerinfo.show,Informativo,2024-03-17 16:13:38.887,2,Android,visible ownerinfo
mVisiblity.getValue is false,Informativo,2024-03-17 16:13:38.888,3,Android,mvisiblity getvalue false
"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227",Informativo,2024-03-17 16:13:38.905,13,Android,release lock flg tag view lock com android systemui ws null uid pid
"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:38.907,17,Android,ready true policy wakefulness wksummary uasummary bootcompleted true boostinprogress false waitmodeenable false mode false manual auto adj
Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Informativo,2024-03-17 16:13:38.915,17,Android,skipping appwindowtoken token token activityrecord com tencent qt qtl com tencent video player activity playeractivity going hide
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0",Informativo,2024-03-17 16:13:38.928,5,Android,updateclipping isoverlap false gettoppadding translation
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:38.928,3,Android,updatedimmedactivatedhidesensitive overlap false
getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,Advertencia,2024-03-17 16:13:38.935,6,Android,getrunningappprocesses caller does hold limiting output
"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702",Informativo,2024-03-17 16:13:38.936,10,Android,release lock flg tag launch android ws worksource uid pid
"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:38.938,17,Android,ready true policy wakefulness wksummary uasummary bootcompleted true boostinprogress false waitmodeenable false mode false manual auto adj
"setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)",Informativo,2024-03-17 16:13:38.954,13,Android,setsystemuivisibility vis mask ffffffff oldval newval diff fullscreenstackvis dockedstackvis fullscreenstackbounds rect dockedstackbounds rect
cancelAutohide,Informativo,2024-03-17 16:13:38.955,1,Android,cancelautohide
"notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500",Informativo,2024-03-17 16:13:38.955,3,Android,notifyuivisibilitychanged vis systemuivisibility
Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack>,Informativo,2024-03-17 16:13:38.994,50,Android,destroying surface surface surfaceview com tencent qt qtl com tencent video player activity playeractivity called com android server wm windowstateanimator destroydeferredsurfacelocked com android server wm windowmanagerservice performdeferreddestroywindow com android server wm session performdeferreddestroy android view iwindowsession stub ontransact com android server wm session ontransact android os binder exectransact stack stack
Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.destroyOrSaveSurface:2201 com.android.server.wm.WindowManagerService.tryStartExitingAnimation:3299 com.android.server.wm.WindowManagerService.relayoutWindow:3179 com.android.server.wm.Session.relayout:215 android.view.IWindowSession$Stub.onTransact:286 com.android.server.wm.Session.onTransact:136,Informativo,2024-03-17 16:13:39.006,61,Android,destroying surface surface com tencent qt qtl com tencent video player activity playeractivity called com android server wm windowstateanimator destroysurface com android server wm windowstateanimator destroysurfacelocked com android server wm windowstate destroyorsavesurface com android server wm windowmanagerservice trystartexitinganimation com android server wm windowmanagerservice relayoutwindow com android server wm session relayout android view iwindowsession stub ontransact com android server wm session ontransact
"release:lock=62617001, flg=0x0, tag=""WindowManager"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702",Informativo,2024-03-17 16:13:39.010,10,Android,release lock flg tag windowmanager android ws worksource uid pid
"userActivityNoUpdateLocked: eventTime=261843648, event=0, flags=0x1, uid=1000",Informativo,2024-03-17 16:13:39.011,5,Android,useractivitynoupdatelocked eventtime event flags uid
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:39.011,17,Android,ready true policy wakefulness wksummary uasummary bootcompleted true boostinprogress false waitmodeenable false mode false manual auto adj
"orientation change is complete, call stopFreezingDisplayLocked",Informativo,2024-03-17 16:13:39.069,4,Android,orientation change complete stopfreezingdisplaylocked
Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},Informativo,2024-03-17 16:13:39.070,14,Android,screen frozen window com tencent qt qtl com tencent qt qtl activity info newsdetailxmlactivity
startAnimation begin,Informativo,2024-03-17 16:13:39.070,2,Android,startanimation begin
startAnimation end,Informativo,2024-03-17 16:13:39.079,2,Android,startanimation end
"release:lock=226887582, flg=0x0, tag=""SCREEN_FROZEN"", name=android"", ws=null, uid=1000, pid=1702",Informativo,2024-03-17 16:13:39.080,9,Android,release lock flg tag android ws null uid pid
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:39.080,17,Android,ready true policy wakefulness wksummary uasummary bootcompleted true boostinprogress false waitmodeenable false mode false manual auto adj
remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,Informativo,2024-03-17 16:13:39.095,11,Android,remove pendingintent pendingintentrecord com tencent qt qtl broadcastintent changed bounds rebatching
