Content,Level,datetime,content_length,source
"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",Informativo,2024-03-17 16:13:38.811,21,Android
"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227",Informativo,2024-03-17 16:13:38.819,9,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:38.820,1,Android
Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Informativo,2024-03-17 16:13:38.839,11,Android
visible is system.time.showampm,Informativo,2024-03-17 16:13:38.859,3,Android
mVisiblity.getValue is false,Informativo,2024-03-17 16:13:38.861,3,Android
visible is system.charge.show,Informativo,2024-03-17 16:13:38.869,3,Android
mVisiblity.getValue is false,Informativo,2024-03-17 16:13:38.871,3,Android
visible is system.call.count gt 0,Informativo,2024-03-17 16:13:38.875,5,Android
mVisiblity.getValue is false,Informativo,2024-03-17 16:13:38.877,3,Android
visible is system.message.count gt 0,Informativo,2024-03-17 16:13:38.881,5,Android
mVisiblity.getValue is false,Informativo,2024-03-17 16:13:38.882,3,Android
visible is system.ownerinfo.show,Informativo,2024-03-17 16:13:38.887,3,Android
mVisiblity.getValue is false,Informativo,2024-03-17 16:13:38.888,3,Android
"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227",Informativo,2024-03-17 16:13:38.905,8,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:38.907,1,Android
Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Informativo,2024-03-17 16:13:38.915,11,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0",Informativo,2024-03-17 16:13:38.928,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:38.928,2,Android
getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,Advertencia,2024-03-17 16:13:38.935,9,Android
"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702",Informativo,2024-03-17 16:13:38.936,7,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:38.938,1,Android
"setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)",Informativo,2024-03-17 16:13:38.954,18,Android
cancelAutohide,Informativo,2024-03-17 16:13:38.955,1,Android
"notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500",Informativo,2024-03-17 16:13:38.955,2,Android
Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack>,Informativo,2024-03-17 16:13:38.994,21,Android
Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.destroyOrSaveSurface:2201 com.android.server.wm.WindowManagerService.tryStartExitingAnimation:3299 com.android.server.wm.WindowManagerService.relayoutWindow:3179 com.android.server.wm.Session.relayout:215 android.view.IWindowSession$Stub.onTransact:286 com.android.server.wm.Session.onTransact:136,Informativo,2024-03-17 16:13:39.006,13,Android
"release:lock=62617001, flg=0x0, tag=""WindowManager"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702",Informativo,2024-03-17 16:13:39.010,7,Android
"userActivityNoUpdateLocked: eventTime=261843648, event=0, flags=0x1, uid=1000",Informativo,2024-03-17 16:13:39.011,5,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:39.011,1,Android
"orientation change is complete, call stopFreezingDisplayLocked",Informativo,2024-03-17 16:13:39.069,6,Android
Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},Informativo,2024-03-17 16:13:39.070,9,Android
startAnimation begin,Informativo,2024-03-17 16:13:39.070,2,Android
startAnimation end,Informativo,2024-03-17 16:13:39.079,2,Android
"release:lock=226887582, flg=0x0, tag=""SCREEN_FROZEN"", name=android"", ws=null, uid=1000, pid=1702",Informativo,2024-03-17 16:13:39.080,7,Android
