Content,Level,datetime,content_length,source,Clean_Content
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:07:16.000,9,Hadoop,address change detected old msra sa new msra sa
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:29:42.070,4,Zookeeper,interrupted waiting message queue
shouldBlockLocation running ...,Advertencia,2024-03-17 16:14:08.209,2,Android,shouldblocklocation running
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:30:00.813,4,Zookeeper,interrupted waiting message queue
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 134 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:07:12.000,6,Hadoop,failed renew lease seconds retry shortly
"Connection broken for id 188978561024, my id = 2, error =",Advertencia,2015-07-29 19:31:27.555,5,Zookeeper,connection broken id id error
Sending non-protected broadcast com.android.systemui.statusbar.visible.change from system 2227:com.android.systemui/u0a37 pkg com.android.systemui,Advertencia,2024-03-17 16:13:47.499,17,Android,sending non protected broadcast com android systemui statusbar visible change com android systemui pkg com android systemui
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 81 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:06:19.000,6,Hadoop,failed renew lease seconds retry shortly
Connection request from old client /10.10.34.33:39730; will be dropped if server is in r-o mode,Advertencia,2015-07-31 11:09:01.762,9,Zookeeper,connection request old client dropped server r o mode
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:33:28.443,4,Zookeeper,interrupted waiting message queue
Send worker leaving thread,Advertencia,2015-07-29 19:30:44.766,4,Zookeeper,send worker leaving thread
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 44 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:05:41.000,6,Hadoop,failed renew lease seconds retry shortly
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 271 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:09:28.000,6,Hadoop,failed renew lease seconds retry shortly
"Connection broken for id 188978561024, my id = 1, error =",Advertencia,2015-07-29 19:23:00.124,5,Zookeeper,connection broken id id error
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:36:21.606,4,Zookeeper,interrupted waiting message queue
Send worker leaving thread,Advertencia,2015-07-29 19:24:45.647,4,Zookeeper,send worker leaving thread
getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,Advertencia,2024-03-17 16:15:54.045,6,Android,getrunningappprocesses caller does hold limiting output
"Connection broken for id 188978561024, my id = 2, error =",Advertencia,2015-07-29 19:34:18.016,5,Zookeeper,connection broken id id error
Interrupting SendWorker,Advertencia,2015-07-29 19:23:56.838,2,Zookeeper,interrupting sendworker
Interrupting SendWorker,Advertencia,2015-07-29 19:25:19.035,2,Zookeeper,interrupting sendworker
Send worker leaving thread,Advertencia,2015-07-29 19:27:09.111,4,Zookeeper,send worker leaving thread
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 191 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:08:08.000,6,Hadoop,failed renew lease seconds retry shortly
getTasks: caller 10111 does not hold REAL_GET_TASKS; limiting output,Advertencia,2024-03-17 16:16:04.790,6,Android,gettasks caller does hold limiting output
"Connection broken for id 188978561024, my id = 2, error =",Advertencia,2015-07-29 19:28:27.063,5,Zookeeper,connection broken id id error
Send worker leaving thread,Advertencia,2015-07-29 19:23:19.600,4,Zookeeper,send worker leaving thread
"Connection broken for id 188978561024, my id = 1, error =",Advertencia,2015-07-29 19:32:22.405,5,Zookeeper,connection broken id id error
Send worker leaving thread,Advertencia,2015-07-29 19:31:51.573,4,Zookeeper,send worker leaving thread
"Connection broken for id 188978561024, my id = 1, error =",Advertencia,2015-07-29 19:34:05.958,5,Zookeeper,connection broken id id error
Send worker leaving thread,Advertencia,2015-07-29 19:33:55.844,4,Zookeeper,send worker leaving thread
getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,Advertencia,2024-03-17 16:13:54.046,6,Android,getrunningappprocesses caller does hold limiting output
Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Advertencia,2015-10-18 18:08:21.000,9,Hadoop,address change detected old msra sa new msra sa
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:07:25.000,9,Hadoop,address change detected old msra sa new msra sa
"Connection broken for id 188978561024, my id = 3, error =",Advertencia,2015-07-29 19:36:02.290,5,Zookeeper,connection broken id id error
Interrupting SendWorker,Advertencia,2015-07-29 19:34:55.378,2,Zookeeper,interrupting sendworker
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 222 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:08:39.000,6,Hadoop,failed renew lease seconds retry shortly
Interrupting SendWorker,Advertencia,2015-07-29 19:23:16.937,2,Zookeeper,interrupting sendworker
Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Advertencia,2015-10-18 18:10:47.000,9,Hadoop,address change detected old msra sa new msra sa
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:33:21.031,4,Zookeeper,interrupted waiting message queue
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:06:44.000,9,Hadoop,address change detected old msra sa new msra sa
Interrupting SendWorker,Advertencia,2015-07-29 19:28:34.481,2,Zookeeper,interrupting sendworker
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:06:45.000,9,Hadoop,address change detected old msra sa new msra sa
"Connection broken for id 188978561024, my id = 2, error =",Advertencia,2015-07-29 19:30:40.692,5,Zookeeper,connection broken id id error
Cannot open channel to 3 at election address /10.10.34.13:3888,Advertencia,2015-08-24 21:07:14.519,4,Zookeeper,open channel election address
"Connection broken for id 188978561024, my id = 1, error =",Advertencia,2015-07-29 19:23:36.783,5,Zookeeper,connection broken id id error
Send worker leaving thread,Advertencia,2015-07-29 19:34:24.699,4,Zookeeper,send worker leaving thread
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:10:13.000,9,Hadoop,address change detected old msra sa new msra sa
Interrupting SendWorker,Advertencia,2015-07-29 19:35:31.307,2,Zookeeper,interrupting sendworker
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:23:48.744,4,Zookeeper,interrupted waiting message queue
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:07:47.000,9,Hadoop,address change detected old msra sa new msra sa
Interrupting SendWorker,Advertencia,2015-07-29 19:32:29.085,2,Zookeeper,interrupting sendworker
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:07:07.000,9,Hadoop,address change detected old msra sa new msra sa
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 92 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:06:30.000,6,Hadoop,failed renew lease seconds retry shortly
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:35:05.510,4,Zookeeper,interrupted waiting message queue
"Connection broken for id 188978561024, my id = 1, error =",Advertencia,2015-07-29 19:29:58.778,5,Zookeeper,connection broken id id error
Interrupting SendWorker,Advertencia,2015-07-29 19:34:44.742,2,Zookeeper,interrupting sendworker
Interrupting SendWorker,Advertencia,2015-07-29 19:29:21.933,2,Zookeeper,interrupting sendworker
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 311 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:10:08.000,6,Hadoop,failed renew lease seconds retry shortly
Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,Advertencia,2015-10-18 18:10:51.000,9,Hadoop,address change detected old msra sa new msra sa
Send worker leaving thread,Advertencia,2015-07-29 19:29:48.077,4,Zookeeper,send worker leaving thread
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 42 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:05:39.000,6,Hadoop,failed renew lease seconds retry shortly
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 290 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:09:47.000,6,Hadoop,failed renew lease seconds retry shortly
Interrupting SendWorker,Advertencia,2015-07-29 19:14:24.329,2,Zookeeper,interrupting sendworker
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 155 seconds.  Will retry shortly ...,Advertencia,2015-10-18 18:07:33.000,6,Hadoop,failed renew lease seconds retry shortly
Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,Advertencia,2015-10-18 18:06:20.000,9,Hadoop,address change detected old msra sa new msra sa
Interrupted while waiting for message on queue,Advertencia,2015-07-29 19:28:10.465,4,Zookeeper,interrupted waiting message queue
